Hisse Kodu,Hisse Adı,Şehir
ADEL,ADEL KALEMCİLİK TİCARET VE SANAYİ,KOCAELİ
AEFES,ANADOLU EFES BİRACILIK VE MALT SANAYİİ,İSTANBUL
AGHOL,AG ANADOLU GRUBU HOLDİNG,İSTANBUL
AGROT,AGROTECH YÜKSEK TEKNOLOJİ VE YATIRIM,İSTANBUL
AHGAZ,AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM,İSTANBUL
AKBNK,AKBANK,İSTANBUL
AKCNS,AKÇANSA ÇİMENTO SANAYİ VE TİCARET,İSTANBUL
AKFGY,AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI,İSTANBUL
AKFYE,AKFEN YENİLENEBİLİR ENERJİ,ANKARA
AKSA,AKSA AKRİLİK KİMYA SANAYİİ,YALOVA
AKSEN,AKSA ENERJİ ÜRETİM,İSTANBUL
ALARK,ALARKO HOLDİNG,İSTANBUL
ALBRK,ALBARAKA TÜRK KATILIM BANKASI,İSTANBUL
ALFAS,ALFA SOLAR ENERJİ SANAYİ VE TİCARET,ANKARA
ALTNY,ALTINAY SAVUNMA TEKNOLOJİLERİ,İSTANBUL
ANHYT,ANADOLU HAYAT EMEKLİLİK,İSTANBUL
ANSGR,ANADOLU ANONİM TÜRK SİGORTA Şİ,İSTANBUL
ARCLK,ARÇELİK,İSTANBUL
ARDYZ,ARD GRUP BİLİŞİM TEKNOLOJİLERİ,ANKARA
ASELS,ASELSAN ELEKTRONİK SANAYİ VE TİCARET,ANKARA
ASTOR,ASTOR ENERJİ,ANKARA
BERA,BERA HOLDİNG,KONYA
BFREN,BOSCH FREN SİSTEMLERİ SANAYİ VE TİCARET,BURSA
BIENY,BİEN YAPI ÜRÜNLERİ SANAYİ TURİZM VE TİCARET,ANKARA
BIMAS,BİM BİRLEŞİK MAĞAZALAR,İSTANBUL
BINHO,1000 YATIRIMLAR HOLDİNG,İSTANBUL
BIOEN,BİOTREND ÇEVRE VE ENERJİ YATIRIMLARI,İSTANBUL
BJKAS,BEŞİKTAŞ FUTBOL YATIRIMLARI SANAYİ VE TİCARET,İSTANBUL
BOBET,BOĞAZİÇİ BETON SANAYİ VE TİCARET,İSTANBUL
BRSAN,BORUSAN BİRLEŞİK BORU FABRİKALARI SANAYİ VE TİCARET,İSTANBUL
BRYAT,BORUSAN YATIRIM VE PAZARLAMA,İSTANBUL
BSOKE,BATISÖKE SÖKE ÇİMENTO SANAYİİ,İZMİR
BTCIM,BATIÇİM BATI ANADOLU ÇİMENTO SANAYİİ,İZMİR
CANTE,ÇAN2 TERMİK,İSTANBUL
CCOLA,COCA-COLA İÇECEK,İSTANBUL
CIMSA,ÇİMSA ÇİMENTO SANAYİ VE TİCARET,İSTANBUL
CLEBI,ÇELEBİ HAVA SERVİSİ,İSTANBUL
CVKMD,CVK MADEN İŞLETMELERİ SANAYİ VE TİCARET,İSTANBUL
CWENE,CW ENERJİ MÜHENDİSLİK TİCARET VE SANAYİ,ANTALYA
DOAS,DOĞUŞ OTOMOTİV SERVİS VE TİCARET,İSTANBUL
DOHOL,DOĞAN ŞİRKETLER GRUBU HOLDİNG,İSTANBUL
ECILC,EİS ECZACIBAŞI İLAÇ SINAİ VE FİNANSAL YATIRIMLAR SANAYİ VE TİCARET,İSTANBUL
ECZYT,ECZACIBAŞI YATIRIM HOLDİNG ORTAKLIĞI,İSTANBUL
EGEEN,EGE ENDÜSTRİ VE TİCARET,İZMİR
EKGYO,EMLAK KONUT GAYRİMENKUL YATIRIM ORTAKLIĞI,İSTANBUL
ENERY,ENERYA ENERJİ,İSTANBUL
ENJSA,ENERJİSA ENERJİ,İSTANBUL
ENKAI,ENKA İNŞAAT VE SANAYİ,İSTANBUL
EREGL,EREĞLİ DEMİR VE ÇELİK FABRİKALARI,İSTANBUL
EUPWR,EUROPOWER ENERJİ VE OTOMASYON TEKNOLOJİLERİ SANAYİ TİCARET,ANKARA
EUREN,EUROPEN ENDÜSTRİ İNŞAAT SANAYİ VE TİCARET,ESKİŞEHİR
FENER,FENERBAHÇE FUTBOL,İSTANBUL
FROTO,FORD OTOMOTİV SANAYİ,İSTANBUL
GARAN,TÜRKİYE GARANTİ BANKASI,İSTANBUL
GESAN,GİRİŞİM ELEKTRİK SANAYİ TAAHHÜT VE TİCARET,ANKARA
GOLTS,GÖLTAŞ GÖLLER BÖLGESİ ÇİMENTO SANAYİ VE TİCARET,İSTANBUL
GUBRF,GÜBRE FABRİKALARI,İSTANBUL
GWIND,GALATA WIND ENERJİ,İSTANBUL
HALKB,TÜRKİYE HALK BANKASI,İSTANBUL
HEKTS,HEKTAŞ TİCARET,KOCAELİ
IEYHO,IŞIKLAR ENERJİ VE YAPI HOLDİNG,İSTANBUL
IPEKE,İPEK DOĞAL ENERJİ KAYNAKLARI ARAŞTIRMA VE ÜRETİM,ANKARA
ISGYO,İŞ GAYRİMENKUL YATIRIM ORTAKLIĞI,İSTANBUL
ISMEN,İŞ YATIRIM MENKUL DEĞERLER,İSTANBUL
IZENR,İZDEMİR ENERJİ ELEKTRİK ÜRETİM,İZMİR
KARSN,KARSAN OTOMOTİV SANAYİİ VE TİCARET,BURSA
KAYSE,KAYSERİ ŞEKER FABRİKASI,KAYSERİ
KCAER,KOCAER ÇELİK SANAYİ VE TİCARET,DENİZLİ
KCHOL,KOÇ HOLDİNG,İSTANBUL
KLSER,KALESERAMİK ÇANAKKALE KALEBODUR SERAMİK SANAYİ,İSTANBUL
KONTR,KONTROLMATİK TEKNOLOJİ ENERJİ VE MÜHENDİSLİK,İSTANBUL
KONYA,KONYA ÇİMENTO SANAYİİ,KONYA
KOZAA,KOZA ANADOLU METAL MADENCİLİK İŞLETMELERİ,ANKARA
KOZAL,KOZA ALTIN İŞLETMELERİ,ANKARA
KTLEV,KATILIMEVİM TASARRUF FİNANSMAN,İSTANBUL
LIDER,LDR TURİZM,İSTANBUL
LMKDC,LİMAK DOĞU ANADOLU ÇİMENTO SANAYİ VE TİCARET,ŞANLIURFA
MAGEN,MARGÜN ENERJİ ÜRETİM SANAYİ VE TİCARET,ANKARA
MAVI,MAVİ GİYİM SANAYİ VE TİCARET,İSTANBUL
MGROS,MİGROS TİCARET,İSTANBUL
MIATK,MİA TEKNOLOJİ,ANKARA
MPARK,MLP SAĞLIK HİZMETLERİ,İSTANBUL
NTHOL,NET HOLDİNG,İSTANBUL
OBAMS,OBA MAKARNACILIK SANAYİ VE TİCARET,GAZİANTEP
ODAS,ODAŞ ELEKTRİK ÜRETİM SANAYİ TİCARET,İSTANBUL
OTKAR,OTOKAR OTOMOTİV VE SAVUNMA SANAYİ,İSTANBUL
